2016. 5. 5 오후 11:58:00,1164.5
2016. 5. 6 오후 11:58:00,1167.34
2016. 5. 9 오후 11:58:00,1173.05
2016. 5. 10 오후 11:58:00,1169.33
2016. 5. 11 오후 11:58:00,1162.9
2016. 5. 12 오후 11:58:00,1167.4
2016. 5. 13 오후 11:58:00,1174.9
2016. 5. 16 오후 11:58:00,1176.45
2016. 5. 17 오후 11:58:00,1173.33
2016. 5. 18 오후 11:58:00,1186.85
2016. 5. 19 오후 11:58:00,1185.45
2016. 5. 20 오후 11:58:00,1188.46
2016. 5. 22 오후 11:58:00,1188.46
2016. 5. 23 오후 11:58:00,1181.55
2016. 5. 24 오후 11:58:00,1185.55
2016. 5. 25 오후 11:58:00,1178.85
2016. 5. 26 오후 11:58:00,1177.95
2016. 5. 27 오후 11:58:00,1184.25
2016. 5. 29 오후 11:58:00,1184.25
2016. 5. 30 오후 11:58:00,1198.45
2016. 5. 31 오후 11:58:00,1187.74
2016. 6. 1 오후 11:58:00,1190.15
2016. 6. 2 오후 11:58:00,1184.3
2016. 6. 3 오후 11:58:00,1161.59
2016. 6. 6 오후 11:58:00,1157.9
2016. 6. 7 오후 11:58:00,1154.5
2016. 6. 8 오후 11:58:00,1150.25
2016. 6. 9 오후 11:58:00,1156.2
2016. 6. 10 오후 11:58:00,1169.48
2016. 6. 13 오후 11:58:00,1170.15
2016. 6. 14 오후 11:58:00,1173.39
2016. 6. 15 오후 11:58:00,1166.7
2016. 6. 16 오후 11:58:00,1169.58
2016. 6. 17 오후 11:58:00,1168.56
2016. 6. 19 오후 11:58:00,1168.56
2016. 6. 20 오후 11:58:00,1159.35
2016. 6. 21 오후 11:58:00,1151.6
2016. 6. 22 오후 11:58:00,1149.9
2016. 6. 23 오후 11:58:00,1141.26
2016. 6. 24 오후 11:58:00,1170.61
2016. 6. 27 오후 11:58:00,1177.65
2016. 6. 28 오후 11:58:00,1165.38
2016. 6. 29 오후 11:58:00,1152.15
2016. 6. 30 오후 11:58:00,1151.25
2016. 7. 1 오후 11:58:00,1148
2016. 7. 2 오후 11:58:00,1148
2016. 7. 4 오후 11:58:00,1151.4
2016. 7. 5 오후 11:58:00,1154.95
2016. 7. 6 오후 11:58:00,1155.25
2016. 7. 7 오후 11:58:00,1155.65
2016. 7. 8 오후 11:58:00,1147.71
2016. 7. 9 오후 11:58:00,1147.71
2016. 7. 11 오후 11:58:00,1148.07
2016. 7. 12 오후 11:58:00,1141
2016. 7. 13 오후 11:58:00,1142.65
2016. 7. 14 오후 11:58:00,1129.25
2016. 7. 15 오후 11:58:00,1136.86
2016. 7. 16 오후 11:58:00,1136.6
2016. 7. 18 오후 11:58:00,1133.05
2016. 7. 19 오후 11:58:00,1139.2
2016. 7. 20 오후 11:58:00,1140.95
2016. 7. 21 오후 11:58:00,1136.05
2016. 7. 22 오후 11:58:00,1134
2016. 7. 25 오후 11:58:00,1141.53
2016. 7. 26 오후 11:58:00,1134.55
2016. 7. 27 오후 11:58:00,1129.05
2016. 7. 28 오후 11:58:00,1123.35
2016. 7. 29 오후 11:58:00,1109.95
2016. 7. 30 오후 11:58:00,1109.95
2016. 8. 1 오후 11:58:00,1105.45
2016. 8. 2 오후 11:58:00,1111.84
2016. 8. 3 오후 11:58:00,1113.45
2016. 8. 4 오후 11:58:00,1109.95
2016. 8. 5 오후 11:58:00,1113.35
2016. 8. 8 오후 11:58:00,1104.65
2016. 8. 9 오후 11:58:00,1099.9
2016. 8. 10 오후 11:58:00,1094.25
2016. 8. 11 오후 11:58:00,1095.95
2016. 8. 12 오후 11:58:00,1101.45
2016. 8. 14 오후 11:58:00,1102.48
2016. 8. 15 오후 11:58:00,1097.36
2016. 8. 16 오후 11:58:00,1094.03
2016. 8. 17 오후 11:58:00,1104.5
2016. 8. 18 오후 11:58:00,1106.96
2016. 8. 19 오후 11:58:00,1115.5
2016. 8. 21 오후 11:58:00,1117.39
2016. 8. 22 오후 11:58:00,1122.57
2016. 8. 23 오후 11:58:00,1119.39
2016. 8. 24 오후 11:58:00,1119.79
2016. 8. 25 오후 11:58:00,1114.13
2016. 8. 26 오후 11:58:00,1120.21
2016. 8. 27 오후 11:58:00,1120.21
2016. 8. 28 오후 11:58:00,1121.75
2016. 8. 29 오후 11:58:00,1118.33
2016. 8. 30 오후 11:58:00,1118.38
2016. 8. 31 오후 11:58:00,1114.44
2016. 9. 1 오후 11:58:00,1116.6
2016. 9. 2 오후 11:58:00,1114.56
2016. 9. 3 오후 11:58:00,1115.3
2016. 9. 4 오후 11:58:00,1114.85
2016. 9. 5 오후 11:58:00,1103.43
2016. 9. 6 오후 11:58:00,1094.59
2016. 9. 7 오후 11:58:00,1088.8
2016. 9. 8 오후 11:58:00,1097.39
2016. 9. 9 오후 11:58:00,1104.81
2016. 9. 10 오후 11:58:00,1104.4
2016. 9. 11 오후 11:58:00,1103.6
2016. 9. 12 오후 11:58:00,1107.46
2016. 9. 13 오후 11:58:00,1126.53
2016. 9. 14 오후 11:58:00,1125.75
2016. 9. 15 오후 11:58:00,1123.6
2016. 9. 16 오후 11:58:00,1123.9
2016. 9. 17 오후 11:58:00,1123.9
2016. 9. 18 오후 11:58:00,1124.9
2016. 9. 19 오후 11:58:00,1118.44
